row.names,east.west,north.south,angle,radial.position,velocity
3,8.462788582,-38.173172,102.5,39.09999809,1769
4,7.964977741,-35.92769241,102.5,36.79999936,1749
5,7.467166901,-33.68221283,102.5,34.50000062,1749
6,6.969355583,-31.43673134,102.5,32.19999991,1758
7,6.471544266,-29.19124985,102.5,29.89999921,1750
8,5.973733425,-26.94577026,102.5,27.60000047,1745
9,5.475922108,-24.70028877,102.5,25.29999977,1750
10,4.978111267,-22.45480728,102.5,22.99999917,1753
11,4.48029995,-20.2093277,102.5,20.70000033,1734
12,3.982488871,-17.96384621,102.5,18.39999968,1710
13,3.463033915,-15.62073612,102.5,16.00000003,1711
14,2.965222597,-13.37525558,102.5,13.70000026,1709
15,2.467411518,-11.12977409,102.5,11.3999996,1674
16,1.969600558,-8.88429451,102.5,9.100000841,1665
17,1.47178936,-6.638813019,102.5,6.800000163,1680
18,0.973978281,-4.393332005,102.5,4.499999977,1648
19,0.476167172,-2.147851229,102.5,2.200000017,1626
20,-0.021643961,0.097629599,102.5,-0.099999998,1581
21,-0.519455075,2.343110561,102.5,-2.400000141,1602
22,-1.017266154,4.588591099,102.5,-4.699999862,1558
23,-1.515077353,6.834072113,102.5,-7.000000074,1538
24,-2.012888432,9.07955265,102.5,-9.299999794,1506
25,-2.510699511,11.32503414,102.5,-11.60000045,1521
26,-3.00851059,13.57051373,102.5,-13.89999924,1498
27,-3.527965546,15.91362381,102.5,-16.29999889,1501
28,-4.025776863,18.1591053,102.5,-18.59999959,1491
29,-4.523587704,20.40458679,102.5,-20.90000019,1481
30,-5.021399021,22.65006828,102.5,-23.20000089,1468
31,-5.519210339,24.89554787,102.5,-25.49999973,1455
32,-6.017021179,27.14102745,102.5,-27.79999847,1454
33,-6.514832497,29.38651085,102.5,-30.10000104,1456
34,-7.012643814,31.63199234,102.5,-32.40000174,1459
35,-7.510454655,33.87747192,102.5,-34.70000048,1451
36,-8.008265495,36.12295151,102.5,-36.99999921,1465
37,-8.506076813,38.36843109,102.5,-39.29999806,1451
38,-9.501699448,42.85939789,102.5,-43.90000319,1486
39,-11.01677704,49.69347,102.5,-50.90000331,1433
56,27.82443619,6.168529034,12.5,28.49999999,1631
57,21.08799362,4.675095558,12.5,21.59999985,1618
58,18.84251213,4.177284241,12.5,19.29999915,1607
59,16.59703255,3.6794734,12.5,17.00000041,1608
60,14.35155106,3.181662321,12.5,14.69999976,1601
61,12.10607147,2.683851242,12.5,12.40000004,1603
62,9.860589981,2.186040163,12.5,10.10000032,1612
63,7.615108967,1.688229084,12.5,7.800000129,1607
64,5.271998405,1.16877389,12.5,5.399999962,1618
65,3.02651763,0.670962811,12.5,3.100000009,1649
66,0.781036794,0.173151687,12.5,0.799999988,1595
67,-1.464444041,-0.324659407,12.5,-1.500000027,1580
68,-3.709924698,-0.822470546,12.5,-3.799999877,1574
69,-5.955405712,-1.320281625,12.5,-6.100000063,1574
70,-8.200885773,-1.818092704,12.5,-8.399999318,1559
71,-10.44636726,-2.315903902,12.5,-10.7,1578
72,-12.6918478,-2.813714981,12.5,-12.99999972,1591
73,-14.93732929,-3.31152606,12.5,-15.30000037,1579
74,-17.18280983,-3.809337378,12.5,-17.60000014,1588
75,-19.42828941,-4.307148457,12.5,-19.89999893,1581
76,-21.67377281,-4.804959774,12.5,-22.20000149,1569
77,-23.9192524,-5.302770615,12.5,-24.50000023,1572
78,-26.26236153,-5.822225571,12.5,-26.89999895,1584
79,-28.50784492,-6.320036888,12.5,-29.20000152,1565
95,23.86994171,-25.59737968,133,34.99999949,1718
96,22.30134773,-23.91526604,133,32.70000092,1711
97,20.73274994,-22.23315239,133,30.39999976,1710
98,19.16415405,-20.55103874,133,28.09999989,1715
99,17.59555626,-18.86892509,133,25.79999873,1713
100,16.02696228,-17.18681145,133,23.50000016,1717
101,14.39016533,-15.43156338,133,21.10000015,1715
102,12.82156754,-13.74944878,133,18.79999894,1712
103,11.2529726,-12.06733608,133,16.49999977,1710
104,9.684376717,-10.38522243,133,14.19999991,1692
105,8.115779877,-8.703108788,133,11.89999939,1669
106,6.547184467,-7.020995617,133,9.600000203,1679
107,4.978588104,-5.338881969,133,7.300000013,1691
108,3.409991741,-3.65676856,133,4.999999998,1647
109,1.841395617,-1.974655032,133,2.700000058,1630
110,0.272799343,-0.292541474,133,0.399999994,1616
111,-1.295796871,1.389572024,133,-1.899999985,1576
112,-2.864392996,3.071685314,133,-4.19999975,1561
113,-4.43298912,4.753798962,133,-6.499999778,1558
114,-6.001585484,6.435912609,133,-8.799999968,1538
115,-7.638381481,8.191161156,133,-11.19999968,1525
116,-9.206977844,9.873274803,133,-13.49999987,1509
117,-10.77557468,11.55538845,133,-15.80000038,1501
118,-12.34417057,13.2375021,133,-18.10000024,1494
119,-13.91276646,14.91961479,133,-20.39999941,1489
120,-15.4813633,16.60173035,133,-22.70000132,1493
121,-17.04995918,18.28384209,133,-24.99999979,1487
122,-18.61855507,19.96595573,133,-27.29999966,1495
123,-20.18715096,21.64806938,133,-29.59999952,1511
124,-21.75574684,23.33018303,133,-31.89999939,1505
